Variant,Category,Model,Turn,Rate
Baseline + Memory,Sexual Harassment / Sexual Talk,Llama (Non-FT),1,0.43
Baseline + Memory,Sexual Harassment / Sexual Talk,Llama (Non-FT),2,0.1
Baseline + Memory,Sexual Harassment / Sexual Talk,Llama (Non-FT),3,0.05
Baseline + Memory,Sexual Harassment / Sexual Talk,Llama (Non-FT),4,0.0
Baseline + Memory,Sexual Harassment / Sexual Talk,Llama (Non-FT),5,0.0
Baseline + Memory,"Race/Culture, and Sexuality",Llama-FT,1,8.02
Baseline + Memory,"Race/Culture, and Sexuality",Llama-FT,2,1.11
Baseline + Memory,"Race/Culture, and Sexuality",Llama-FT,3,15.2
Baseline + Memory,"Race/Culture, and Sexuality",Llama-FT,4,2.5
Baseline + Memory,"Race/Culture, and Sexuality",Llama-FT,5,13.99
Baseline + Memory,"Race/Culture, and Sexuality",Llama (Non-FT),1,7.56
Baseline + Memory,"Race/Culture, and Sexuality",Llama (Non-FT),2,0.29
Baseline + Memory,"Race/Culture, and Sexuality",Llama (Non-FT),3,0.29
Baseline + Memory,"Race/Culture, and Sexuality",Llama (Non-FT),4,0.29
Baseline + Memory,"Race/Culture, and Sexuality",Llama (Non-FT),5,0.62
Baseline + Memory,Intelligence,Llama-FT,1,3.89
Baseline + Memory,Intelligence,Llama-FT,2,1.25
Baseline + Memory,Intelligence,Llama-FT,3,16.31
Baseline + Memory,Intelligence,Llama-FT,4,3.61
Baseline + Memory,Intelligence,Llama-FT,5,21.13
Baseline + Memory,Intelligence,Llama (Non-FT),1,3.28
Baseline + Memory,Intelligence,Llama (Non-FT),2,0.43
Baseline + Memory,Intelligence,Llama (Non-FT),3,7.32
Baseline + Memory,Intelligence,Llama (Non-FT),4,0.67
Baseline + Memory,Intelligence,Llama (Non-FT),5,8.75
Baseline + Memory,Flooding,Llama-FT,1,0.05
Baseline + Memory,Flooding,Llama-FT,2,0.05
Baseline + Memory,Flooding,Llama-FT,3,0.14
Baseline + Memory,Flooding,Llama-FT,4,0.09
Baseline + Memory,Flooding,Llama-FT,5,0.37
Baseline + Memory,Flooding,Llama (Non-FT),1,0.05
Baseline + Memory,Flooding,Llama (Non-FT),2,0.0
Baseline + Memory,Flooding,Llama (Non-FT),3,0.0
Baseline + Memory,Flooding,Llama (Non-FT),4,0.0
Baseline + Memory,Flooding,Llama (Non-FT),5,0.19
Baseline (No Memory),Flaming,Llama-FT,1,28.82
Baseline (No Memory),Flaming,Llama-FT,2,4.01
Baseline (No Memory),Flaming,Llama-FT,3,50.93
Baseline (No Memory),Flaming,Llama-FT,4,10.13
Baseline (No Memory),Flaming,Llama-FT,5,60.9
Baseline (No Memory),Flaming,Llama (Non-FT),1,28.72
Baseline (No Memory),Flaming,Llama (Non-FT),2,1.09
Baseline (No Memory),Flaming,Llama (Non-FT),3,9.51
Baseline (No Memory),Flaming,Llama (Non-FT),4,1.95
Baseline (No Memory),Flaming,Llama (Non-FT),5,11.41
Baseline (No Memory),Threat/Blackmail,Llama-FT,1,0.85
Baseline (No Memory),Threat/Blackmail,Llama-FT,2,0.75
Baseline (No Memory),Threat/Blackmail,Llama-FT,3,4.06
Baseline (No Memory),Threat/Blackmail,Llama-FT,4,1.6
Baseline (No Memory),Threat/Blackmail,Llama-FT,5,8.72
Baseline (No Memory),Threat/Blackmail,Llama (Non-FT),1,0.76
Baseline (No Memory),Threat/Blackmail,Llama (Non-FT),2,0.33
Baseline (No Memory),Threat/Blackmail,Llama (Non-FT),3,1.05
Baseline (No Memory),Threat/Blackmail,Llama (Non-FT),4,0.43
Baseline (No Memory),Threat/Blackmail,Llama (Non-FT),5,2.09
Baseline (No Memory),Insult,Llama-FT,1,39.0
Baseline (No Memory),Insult,Llama-FT,2,4.91
Baseline (No Memory),Insult,Llama-FT,3,63.01
Baseline (No Memory),Insult,Llama-FT,4,12.38
Baseline (No Memory),Insult,Llama-FT,5,63.66
Baseline (No Memory),Insult,Llama (Non-FT),1,40.89
Baseline (No Memory),Insult,Llama (Non-FT),2,1.38
Baseline (No Memory),Insult,Llama (Non-FT),3,11.75
Baseline (No Memory),Insult,Llama (Non-FT),4,2.66
Baseline (No Memory),Insult,Llama (Non-FT),5,12.89
Baseline (No Memory),Curse/Exclusion,Llama-FT,1,8.12
Baseline (No Memory),Curse/Exclusion,Llama-FT,2,1.55
Baseline (No Memory),Curse/Exclusion,Llama-FT,3,23.36
Baseline (No Memory),Curse/Exclusion,Llama-FT,4,2.11
Baseline (No Memory),Curse/Exclusion,Llama-FT,5,26.32
Baseline (No Memory),Curse/Exclusion,Llama (Non-FT),1,5.09
Baseline (No Memory),Curse/Exclusion,Llama (Non-FT),2,0.1
Baseline (No Memory),Curse/Exclusion,Llama (Non-FT),3,0.9
Baseline (No Memory),Curse/Exclusion,Llama (Non-FT),4,0.52
Baseline (No Memory),Curse/Exclusion,Llama (Non-FT),5,1.33
Baseline (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,1,0.2
Baseline (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,2,0.05
Baseline (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,3,0.5
Baseline (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,4,0.1
Baseline (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,5,0.5
Baseline (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),1,0.38
Baseline (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),2,0.05
Baseline (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),3,0.05
Baseline (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),4,0.0
Baseline (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),5,0.0
Baseline (No Memory),"Race/Culture, and Sexuality",Llama-FT,1,14.09
Baseline (No Memory),"Race/Culture, and Sexuality",Llama-FT,2,1.9
Baseline (No Memory),"Race/Culture, and Sexuality",Llama-FT,3,24.61
Baseline (No Memory),"Race/Culture, and Sexuality",Llama-FT,4,3.96
Baseline (No Memory),"Race/Culture, and Sexuality",Llama-FT,5,22.06
Baseline (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),1,7.7
Baseline (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),2,0.29
Baseline (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),3,0.29
Baseline (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),4,0.19
Baseline (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),5,0.57
Baseline (No Memory),Intelligence,Llama-FT,1,4.56
Baseline (No Memory),Intelligence,Llama-FT,2,1.7
Baseline (No Memory),Intelligence,Llama-FT,3,15.34
Baseline (No Memory),Intelligence,Llama-FT,4,3.66
Baseline (No Memory),Intelligence,Llama-FT,5,18.2
Baseline (No Memory),Intelligence,Llama (Non-FT),1,3.23
Baseline (No Memory),Intelligence,Llama (Non-FT),2,0.43
Baseline (No Memory),Intelligence,Llama (Non-FT),3,7.13
Baseline (No Memory),Intelligence,Llama (Non-FT),4,0.86
Baseline (No Memory),Intelligence,Llama (Non-FT),5,8.8
Baseline (No Memory),Flooding,Llama-FT,1,0.0
Baseline (No Memory),Flooding,Llama-FT,2,0.05
Baseline (No Memory),Flooding,Llama-FT,3,0.05
Baseline (No Memory),Flooding,Llama-FT,4,0.15
Baseline (No Memory),Flooding,Llama-FT,5,0.3
Baseline (No Memory),Flooding,Llama (Non-FT),1,0.05
Baseline (No Memory),Flooding,Llama (Non-FT),2,0.0
Baseline (No Memory),Flooding,Llama (Non-FT),3,0.0
Baseline (No Memory),Flooding,Llama (Non-FT),4,0.0
Baseline (No Memory),Flooding,Llama (Non-FT),5,0.19
CoT (No Memory),Flaming,Llama-FT,1,1.2
CoT (No Memory),Flaming,Llama-FT,2,57.53
CoT (No Memory),Flaming,Llama-FT,3,25.85
CoT (No Memory),Flaming,Llama-FT,4,64.11
CoT (No Memory),Flaming,Llama-FT,5,26.46
CoT (No Memory),Flaming,Llama (Non-FT),1,28.2
CoT (No Memory),Flaming,Llama (Non-FT),2,0.33
CoT (No Memory),Flaming,Llama (Non-FT),3,3.14
CoT (No Memory),Flaming,Llama (Non-FT),4,0.95
CoT (No Memory),Flaming,Llama (Non-FT),5,3.38
CoT (No Memory),Threat/Blackmail,Llama-FT,1,0.05
CoT (No Memory),Threat/Blackmail,Llama-FT,2,4.47
CoT (No Memory),Threat/Blackmail,Llama-FT,3,3.36
CoT (No Memory),Threat/Blackmail,Llama-FT,4,7.98
CoT (No Memory),Threat/Blackmail,Llama-FT,5,4.52
CoT (No Memory),Threat/Blackmail,Llama (Non-FT),1,0.86
CoT (No Memory),Threat/Blackmail,Llama (Non-FT),2,0.1
CoT (No Memory),Threat/Blackmail,Llama (Non-FT),3,0.1
CoT (No Memory),Threat/Blackmail,Llama (Non-FT),4,0.29
CoT (No Memory),Threat/Blackmail,Llama (Non-FT),5,0.24
CoT (No Memory),Insult,Llama-FT,1,1.1
CoT (No Memory),Insult,Llama-FT,2,65.16
CoT (No Memory),Insult,Llama-FT,3,28.97
CoT (No Memory),Insult,Llama-FT,4,65.91
CoT (No Memory),Insult,Llama-FT,5,29.37
CoT (No Memory),Insult,Llama (Non-FT),1,41.13
CoT (No Memory),Insult,Llama (Non-FT),2,1.62
CoT (No Memory),Insult,Llama (Non-FT),3,4.28
CoT (No Memory),Insult,Llama (Non-FT),4,4.33
CoT (No Memory),Insult,Llama (Non-FT),5,4.28
CoT (No Memory),Curse/Exclusion,Llama-FT,1,0.3
CoT (No Memory),Curse/Exclusion,Llama-FT,2,21.34
CoT (No Memory),Curse/Exclusion,Llama-FT,3,5.57
CoT (No Memory),Curse/Exclusion,Llama-FT,4,22.24
CoT (No Memory),Curse/Exclusion,Llama-FT,5,5.42
CoT (No Memory),Curse/Exclusion,Llama (Non-FT),1,5.28
CoT (No Memory),Curse/Exclusion,Llama (Non-FT),2,0.05
CoT (No Memory),Curse/Exclusion,Llama (Non-FT),3,0.14
CoT (No Memory),Curse/Exclusion,Llama (Non-FT),4,0.19
CoT (No Memory),Curse/Exclusion,Llama (Non-FT),5,0.38
CoT (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,1,0.0
CoT (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,2,0.4
CoT (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,3,0.1
CoT (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,4,0.55
CoT (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,5,0.1
CoT (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),1,0.33
CoT (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),2,0.0
CoT (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),3,0.0
CoT (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),4,0.1
CoT (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),5,0.05
CoT (No Memory),"Race/Culture, and Sexuality",Llama-FT,1,0.6
CoT (No Memory),"Race/Culture, and Sexuality",Llama-FT,2,25.05
CoT (No Memory),"Race/Culture, and Sexuality",Llama-FT,3,7.88
CoT (No Memory),"Race/Culture, and Sexuality",Llama-FT,4,20.63
CoT (No Memory),"Race/Culture, and Sexuality",Llama-FT,5,6.48
CoT (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),1,7.56
CoT (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),2,0.0
CoT (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),3,0.05
CoT (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),4,0.76
CoT (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),5,0.05
CoT (No Memory),Intelligence,Llama-FT,1,0.05
CoT (No Memory),Intelligence,Llama-FT,2,15.86
CoT (No Memory),Intelligence,Llama-FT,3,6.43
CoT (No Memory),Intelligence,Llama-FT,4,17.92
CoT (No Memory),Intelligence,Llama-FT,5,5.37
CoT (No Memory),Intelligence,Llama (Non-FT),1,2.85
CoT (No Memory),Intelligence,Llama (Non-FT),2,0.05
CoT (No Memory),Intelligence,Llama (Non-FT),3,1.95
CoT (No Memory),Intelligence,Llama (Non-FT),4,0.67
CoT (No Memory),Intelligence,Llama (Non-FT),5,2.28
CoT (No Memory),Flooding,Llama-FT,1,0.05
CoT (No Memory),Flooding,Llama-FT,2,0.0
CoT (No Memory),Flooding,Llama-FT,3,0.1
CoT (No Memory),Flooding,Llama-FT,4,0.2
CoT (No Memory),Flooding,Llama-FT,5,0.2
CoT (No Memory),Flooding,Llama (Non-FT),1,0.05
CoT (No Memory),Flooding,Llama (Non-FT),2,0.0
CoT (No Memory),Flooding,Llama (Non-FT),3,0.0
CoT (No Memory),Flooding,Llama (Non-FT),4,0.0
CoT (No Memory),Flooding,Llama (Non-FT),5,0.05
ReACT (No Memory),Flaming,Llama-FT,1,1.1
ReACT (No Memory),Flaming,Llama-FT,2,56.98
ReACT (No Memory),Flaming,Llama-FT,3,11.8
ReACT (No Memory),Flaming,Llama-FT,4,63.05
ReACT (No Memory),Flaming,Llama-FT,5,14.66
ReACT (No Memory),Flaming,Llama (Non-FT),1,28.01
ReACT (No Memory),Flaming,Llama (Non-FT),2,0.95
ReACT (No Memory),Flaming,Llama (Non-FT),3,7.13
ReACT (No Memory),Flaming,Llama (Non-FT),4,2.38
ReACT (No Memory),Flaming,Llama (Non-FT),5,8.08
ReACT (No Memory),Threat/Blackmail,Llama-FT,1,0.05
ReACT (No Memory),Threat/Blackmail,Llama-FT,2,4.07
ReACT (No Memory),Threat/Blackmail,Llama-FT,3,2.41
ReACT (No Memory),Threat/Blackmail,Llama-FT,4,8.48
ReACT (No Memory),Threat/Blackmail,Llama-FT,5,3.41
ReACT (No Memory),Threat/Blackmail,Llama (Non-FT),1,0.86
ReACT (No Memory),Threat/Blackmail,Llama (Non-FT),2,0.52
ReACT (No Memory),Threat/Blackmail,Llama (Non-FT),3,0.24
ReACT (No Memory),Threat/Blackmail,Llama (Non-FT),4,0.38
ReACT (No Memory),Threat/Blackmail,Llama (Non-FT),5,0.48
ReACT (No Memory),Insult,Llama-FT,1,1.1
ReACT (No Memory),Insult,Llama-FT,2,64.61
ReACT (No Memory),Insult,Llama-FT,3,14.46
ReACT (No Memory),Insult,Llama-FT,4,64.81
ReACT (No Memory),Insult,Llama-FT,5,17.47
ReACT (No Memory),Insult,Llama (Non-FT),1,41.08
ReACT (No Memory),Insult,Llama (Non-FT),2,3.61
ReACT (No Memory),Insult,Llama (Non-FT),3,8.56
ReACT (No Memory),Insult,Llama (Non-FT),4,3.52
ReACT (No Memory),Insult,Llama (Non-FT),5,10.41
ReACT (No Memory),Curse/Exclusion,Llama-FT,1,0.25
ReACT (No Memory),Curse/Exclusion,Llama-FT,2,23.19
ReACT (No Memory),Curse/Exclusion,Llama-FT,3,3.97
ReACT (No Memory),Curse/Exclusion,Llama-FT,4,24.9
ReACT (No Memory),Curse/Exclusion,Llama-FT,5,3.26
ReACT (No Memory),Curse/Exclusion,Llama (Non-FT),1,5.14
ReACT (No Memory),Curse/Exclusion,Llama (Non-FT),2,0.05
ReACT (No Memory),Curse/Exclusion,Llama (Non-FT),3,0.24
ReACT (No Memory),Curse/Exclusion,Llama (Non-FT),4,0.0
ReACT (No Memory),Curse/Exclusion,Llama (Non-FT),5,0.48
ReACT (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,1,0.0
ReACT (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,2,0.4
ReACT (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,3,0.05
ReACT (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,4,0.75
ReACT (No Memory),Sexual Harassment / Sexual Talk,Llama-FT,5,0.1
ReACT (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),1,0.43
ReACT (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),2,0.0
ReACT (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),3,0.0
ReACT (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),4,0.0
ReACT (No Memory),Sexual Harassment / Sexual Talk,Llama (Non-FT),5,0.1
ReACT (No Memory),"Race/Culture, and Sexuality",Llama-FT,1,0.6
ReACT (No Memory),"Race/Culture, and Sexuality",Llama-FT,2,26.71
ReACT (No Memory),"Race/Culture, and Sexuality",Llama-FT,3,4.62
ReACT (No Memory),"Race/Culture, and Sexuality",Llama-FT,4,21.34
ReACT (No Memory),"Race/Culture, and Sexuality",Llama-FT,5,4.82
ReACT (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),1,7.66
ReACT (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),2,0.14
ReACT (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),3,0.29
ReACT (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),4,0.33
ReACT (No Memory),"Race/Culture, and Sexuality",Llama (Non-FT),5,0.14
ReACT (No Memory),Intelligence,Llama-FT,1,0.05
ReACT (No Memory),Intelligence,Llama-FT,2,16.16
ReACT (No Memory),Intelligence,Llama-FT,3,3.87
ReACT (No Memory),Intelligence,Llama-FT,4,19.63
ReACT (No Memory),Intelligence,Llama-FT,5,3.61
ReACT (No Memory),Intelligence,Llama (Non-FT),1,3.38
ReACT (No Memory),Intelligence,Llama (Non-FT),2,0.29
ReACT (No Memory),Intelligence,Llama (Non-FT),3,3.33
ReACT (No Memory),Intelligence,Llama (Non-FT),4,0.86
ReACT (No Memory),Intelligence,Llama (Non-FT),5,4.47
ReACT (No Memory),Flooding,Llama-FT,1,0.05
ReACT (No Memory),Flooding,Llama-FT,2,0.15
ReACT (No Memory),Flooding,Llama-FT,3,0.05
ReACT (No Memory),Flooding,Llama-FT,4,0.15
ReACT (No Memory),Flooding,Llama-FT,5,0.1
ReACT (No Memory),Flooding,Llama (Non-FT),1,0.05
ReACT (No Memory),Flooding,Llama (Non-FT),2,0.0
ReACT (No Memory),Flooding,Llama (Non-FT),3,0.05
ReACT (No Memory),Flooding,Llama (Non-FT),4,0.0
ReACT (No Memory),Flooding,Llama (Non-FT),5,0.0
